BeritaSatu,https://b1world.beritasatumedia.com/Beritasatu/B1World_manifest.m3u8
CNBC,https://live.cnbcindonesia.com/livecnbc/smil:cnbctv.smil/playlist.m3u8
CNN,https://live.cnnindonesia.com/livecnn/smil:cnntv.smil/playlist.m3u8
DianzhangFinanceChannel,http://cclive2.aniu.tv/live/anzb.m3u8
HebiNewsChannel,http://pili-live-hls.hebitv.com/hebi/hebi.m3u8
JJBC,http://visit.jjbctv.com:1935/live/xwzhpc/playlist.m3u8
AmericasVoice,https://content.uplynk.com/channel/26bd482ffe364a1282bc3df28bd3c21f.m3u8
Metro,http://edge.metrotvnews.com:1935/live-edge/smil:metro.smil/chunklist_w729456687_b1492000_sleng.m3u8
Trans,https://video.detik.com/transtv/smil:transtv.smil/playlist.m3u8
Trans7,https://video.detik.com/trans7/smil:trans7.smil/playlist.m3u8
Indosiar,http://210.210.155.37/qwr9ew/s/s04/index.m3u8
NET,http://210.210.155.37/qwr9ew/s/s08/index.m3u8
SCTV,http://210.210.155.37/qwr9ew/s/s03/index.m3u8
Aniplus,http://210.210.155.37/dr9445/h/h02/index.m3u8
Toonmax,http://45.126.83.51/qwr9ew/s/s50/01.m3u8
Afarin,https://5ab29cc78f681.streamlock.net/afarinTV/livestream/playlist.m3u8
Kidoodle,https://kidoodletv-kdtv-1-ca.samsung.wurl.tv/playlist.m3u8
KidsFlix,https://stream-us-east-1.getpublica.com/playlist.m3u8?network_id=50
Toonami,http://api.toonamiaftermath.com:3000/est/playlist.m3u8
Pluto,"https://service-stitcher.clusters.pluto.tv/v1/stitch/embed/hls/channel/5c363ac9e41be30cb6054c7c/master.m3u8?advertisingId=channel&appName=rokuchannel&appVersion=1.0&bmodel=bm1&channel_id=channel&content=channel&content_rating=ROKU_ADS_CONTENT_RATING&content_type=livefeed&coppa=false&deviceDNT=1&deviceId=channel&deviceMake=rokuChannel&deviceModel=web&deviceType=rokuChannel&deviceVersion=1.0&embedPartner=rokuChannel&genre=ROKU_ADS_CONTENT_GENRE&is_lat=1&platform=web&rdid=channel&studio_id=viacom&tags=ROKU_CONTENT_TAGS"
CCTV4,http://210.210.155.35/qwr9ew/s/s19/01.m3u8
CGTN,https://news.cgtn.com/resource/live/english/cgtn-news.m3u8
Indonesia,https://cdn3.wowza.com/1/NEtzTTZ4c1FTTUN2/SkJBbVJs/hls/live/playlist.m3u8
SEAToday,https://cdn-telkomsel-01.akamaized.net/Content/DASH/Live/channel(9ce3f094-4044-467e-84b7-b684a49571d5)/manifest.mpd
TRTWorld,https://tv-trtworld.live.trt.com.tr/master_480.m3u8
RedBull,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
